Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area
Himachal Pradesh,29-02-2020,Monthly,9.8,8528376,41.98,Urban
Himachal Pradesh,31-03-2020,Monthly,35.42,7746166,44.98,Urban
Himachal Pradesh,30-04-2020,Monthly,25.14,8069912,44.34,Urban
Himachal Pradesh,31-05-2020,Monthly,25.84,8027822,43.65,Urban
Himachal Pradesh,30-06-2020,Monthly,29.91,7979300,44.03,Urban
Himachal Pradesh,31-07-2020,Monthly,14.95,8311113,40.07,Urban
Himachal Pradesh,31-08-2020,Monthly,12.01,8542462,45.7,Urban
Himachal Pradesh,30-09-2020,Monthly,13.16,8412788,42.7,Urban
Himachal Pradesh,31-10-2020,Monthly,15.14,8356784,42.82,Urban
Himachal Pradesh,30-11-2020,Monthly,14.08,8363440,42.43,Urban
Jammu & Kashmir,31-01-2019,Monthly,10.76,14812842,39.13,Rural
Jammu & Kashmir,28-02-2019,Monthly,10.05,14875105,38.07,Rural
Jammu & Kashmir,31-03-2019,Monthly,9.89,14988585,38.21,Rural
Jammu & Kashmir,30-04-2019,Monthly,7.25,15071162,39.72,Rural
Jammu & Kashmir,31-05-2019,Monthly,9.79,14999830,38.15,Rural
Jammu & Kashmir,30-06-2019,Monthly,10.3,14961365,38.86,Rural
Jammu & Kashmir,31-07-2019,Monthly,9.0,14952066,36.93,Rural
Jammu & Kashmir,31-08-2019,Monthly,10.51,14865752,38.32,Rural
Jammu & Kashmir,30-09-2019,Monthly,11.24,14939454,37.98,Rural
Jammu & Kashmir,31-10-2019,Monthly,12.19,14882425,39.79,Rural
Jammu & Kashmir,30-11-2019,Monthly,8.77,15032152,39.5,Rural
Jammu & Kashmir,31-12-2019,Monthly,14.6,14673466,38.79,Rural
Jammu & Kashmir,31-01-2020,Monthly,11.39,14927798,36.87,Rural
Jammu & Kashmir,29-02-2020,Monthly,11.68,14840261,39.64,Rural
Jammu & Kashmir,31-03-2020,Monthly,24.36,14262039,36.87,Rural
Jammu & Kashmir,30-04-2020,Monthly,34.25,13778365,37.58,Rural
Jammu & Kashmir,31-05-2020,Monthly,24.72,14230448,39.53,Rural
Jammu & Kashmir,30-06-2020,Monthly,24.63,14245567,39.54,Rural
Jammu & Kashmir,31-07-2020,Monthly,14.63,14728568,36.66,Rural
Jammu & Kashmir,31-08-2020,Monthly,16.29,14615616,38.7,Rural
Jammu & Kashmir,30-09-2020,Monthly,16.57,14555494,38.22,Rural
Jammu & Kashmir,31-10-2020,Monthly,15.5,14723622,36.49,Rural
Jammu & Kashmir,30-11-2020,Monthly,16.3,14659717,38.83,Rural
Jammu & Kashmir,31-01-2019,Monthly,7.86,16209678,43.89,Urban
Jammu & Kashmir,28-02-2019,Monthly,6.22,16353051,45.36,Urban
Jammu & Kashmir,31-03-2019,Monthly,5.28,16318089,44.95,Urban
Jammu & Kashmir,30-04-2019,Monthly,6.19,16320600,44.54,Urban
Jammu & Kashmir,31-05-2019,Monthly,7.96,16248268,45.8,Urban
Jammu & Kashmir,30-06-2019,Monthly,6.54,16255740,45.85,Urban
Jammu & Kashmir,31-07-2019,Monthly,4.8,16387135,47.27,Urban
Jammu & Kashmir,31-08-2019,Monthly,2.52,16467556,43.13,Urban
Jammu & Kashmir,30-09-2019,Monthly,6.89,16312155,47.11,Urban
Jammu & Kashmir,31-10-2019,Monthly,7.9,16181851,45.16,Urban
Jammu & Kashmir,30-11-2019,Monthly,6.29,16298036,46.46,Urban
Jammu & Kashmir,31-12-2019,Monthly,5.81,16376624,45.38,Urban
Jammu & Kashmir,31-01-2020,Monthly,7.65,16236252,46.26,Urban
Jammu & Kashmir,29-02-2020,Monthly,3.4,16404127,46.83,Urban
Jammu & Kashmir,31-03-2020,Monthly,14.81,15863162,46.2,Urban
Jammu & Kashmir,30-04-2020,Monthly,21.86,15606256,43.84,Urban
Jammu & Kashmir,31-05-2020,Monthly,15.86,15805417,44.05,Urban
Jammu & Kashmir,30-06-2020,Monthly,15.14,15860760,46.84,Urban
Jammu & Kashmir,31-07-2020,Monthly,9.15,16120905,45.29,Urban
Jammu & Kashmir,31-08-2020,Monthly,6.8,16158736,44.8,Urban
Jammu & Kashmir,30-09-2020,Monthly,4.19,16323927,45.97,Urban
Jammu & Kashmir,31-10-2020,Monthly,7.01,16259004,46.36,Urban
Jammu & Kashmir,30-11-2020,Monthly,7.56,16137499,45.2,Urban
Jharkhand,31-01-2019,Monthly,11.38,12458717,37.6,Rural
Jharkhand,28-02-2019,Monthly,11.46,12475457,35.52,Rural
Jharkhand,31-03-2019,Monthly,8.39,12535386,36.63,Rural
Jharkhand,30-04-2019,Monthly,12.59,12497608,35.66,Rural
Jharkhand,31-05-2019,Monthly,12.29,12470531,38.24,Rural
Jharkhand,30-06-2019,Monthly,11.47,12453410,33.66,Rural
Jharkhand,31-07-2019,Monthly,10.69,12475946,36.15,Rural
Jharkhand,31-08-2019,Monthly,10.13,12572641,36.1,Rural
Jharkhand,30-09-2019,Monthly,10.4,12607110,36.19,Rural
Jharkhand,31-10-2019,Monthly,11.95,12486727,37.22,Rural
Jharkhand,30-11-2019,Monthly,11.82,12499512,34.93,Rural
Jharkhand,31-12-2019,Monthly,9.94,12469566,35.53,Rural
Jharkhand,31-01-2020,Monthly,10.58,12534217,36.5,Rural
Jharkhand,29-02-2020,Monthly,9.37,12619321,37.85,Rural
Jharkhand,31-03-2020,Monthly,31.27,11815136,34.87,Rural
Jharkhand,30-04-2020,Monthly,32.89,11650192,38.03,Rural
Jharkhand,31-05-2020,Monthly,32.02,11710271,36.15,Rural
Jharkhand,30-06-2020,Monthly,26.22,11830633,37.71,Rural
Jharkhand,31-07-2020,Monthly,17.59,12313776,35.0,Rural
Jharkhand,31-08-2020,Monthly,14.45,12331118,35.79,Rural
Jharkhand,30-09-2020,Monthly,14.71,12439029,35.63,Rural
Jharkhand,31-10-2020,Monthly,14.63,12427866,34.89,Rural
Jharkhand,30-11-2020,Monthly,14.22,12358644,36.27,Rural
Jharkhand,31-01-2019,Monthly,8.58,5004121,42.29,Urban
Jharkhand,28-02-2019,Monthly,7.53,4974807,40.12,Urban
Jharkhand,31-03-2019,Monthly,10.11,4988207,41.88,Urban
Jharkhand,30-04-2019,Monthly,7.49,4919197,42.92,Urban
Jharkhand,31-05-2019,Monthly,5.46,5111246,44.96,Urban
Jharkhand,30-06-2019,Monthly,9.92,5017657,41.01,Urban
Jharkhand,31-07-2019,Monthly,7.33,4987555,41.72,Urban
Jharkhand,31-08-2019,Monthly,8.94,4995987,43.44,Urban
Jharkhand,30-09-2019,Monthly,5.74,5124033,41.18,Urban
Jharkhand,31-10-2019,Monthly,9.91,5001398,44.64,Urban
Jharkhand,30-11-2019,Monthly,10.35,4926416,42.16,Urban
Jharkhand,31-12-2019,Monthly,7.15,5010767,42.6,Urban
Jharkhand,31-01-2020,Monthly,13.21,4921255,41.81,Urban
Jharkhand,29-02-2020,Monthly,7.44,5037935,42.13,Urban
Jharkhand,31-03-2020,Monthly,26.54,4757874,42.22,Urban
Jharkhand,30-04-2020,Monthly,28.82,4624494,43.05,Urban
Jharkhand,31-05-2020,Monthly,20.43,4688423,46.05,Urban
Jharkhand,30-06-2020,Monthly,25.49,4700818,42.78,Urban
Jharkhand,31-07-2020,Monthly,17.24,4834226,42.1,Urban
Jharkhand,31-08-2020,Monthly,16.26,4848889,42.12,Urban
Jharkhand,30-09-2020,Monthly,14.39,4920564,42.52,Urban
Jharkhand,31-10-2020,Monthly,13.48,4889644,43.43,Urban
Jharkhand,30-11-2020,Monthly,12.75,4864319,40.63,Urban
Karnataka,31-01-2019,Monthly,13.3,10178901,39.03,Rural
Karnataka,28-02-2019,Monthly,11.96,10216828,37.45,Rural
Karnataka,31-03-2019,Monthly,13.06,10196276,38.58,Rural
Karnataka,30-04-2019,Monthly,10.75,10193135,38.13,Rural
Karnataka,31-05-2019,Monthly,9.13,10278316,37.21,Rural
Karnataka,30-06-2019,Monthly,10.94,10229629,38.89,Rural
Karnataka,31-07-2019,Monthly,9.81,10223114,38.95,Rural
Karnataka,31-08-2019,Monthly,10.43,10236231,37.31,Rural
Karnataka,30-09-2019,Monthly,8.64,10254093,39.16,Rural
Karnataka,31-10-2019,Monthly,9.59,10193909,38.0,Rural
Karnataka,30-11-2019,Monthly,10.97,10241036,39.79,Rural
Karnataka,31-12-2019,Monthly,7.29,10344316,39.37,Rural
Karnataka,31-01-2020,Monthly,12.98,10225346,38.41,Rural
Karnataka,29-02-2020,Monthly,8.89,10335325,38.83,Rural
Karnataka,31-03-2020,Monthly,30.44,9747453,38.63,Rural
Karnataka,30-04-2020,Monthly,27.29,9617738,38.13,Rural
Karnataka,31-05-2020,Monthly,19.67,9958772,37.17,Rural
Karnataka,30-06-2020,Monthly,20.47,9894465,38.18,Rural
Karnataka,31-07-2020,Monthly,12.43,10188607,39.15,Rural
Karnataka,31-08-2020,Monthly,11.83,10186234,37.23,Rural
Karnataka,30-09-2020,Monthly,12.18,10232499,38.48,Rural
Karnataka,31-10-2020,Monthly,14.03,10118774,39.07,Rural
Karnataka,30-11-2020,Monthly,16.91,10009579,35.23,Rural
Karnataka,31-01-2019,Monthly,7.95,13282771,36.55,Urban
Karnataka,28-02-2019,Monthly,8.75,13254886,35.31,Urban
Karnataka,31-03-2019,Monthly,9.03,13183601,34.53,Urban
Karnataka,30-04-2019,Monthly,6.05,13312625,33.34,Urban
Karnataka,31-05-2019,Monthly,8.39,13191198,34.89,Urban
Karnataka,30-06-2019,Monthly,11.64,13068411,34.59,Urban
Karnataka,31-07-2019,Monthly,10.21,13194534,34.97,Urban
Karnataka,31-08-2019,Monthly,9.75,13241401,34.18,Urban
Karnataka,30-09-2019,Monthly,8.85,13154412,36.42,Urban
Karnataka,31-10-2019,Monthly,11.78,13040651,35.3,Urban
Karnataka,30-11-2019,Monthly,,13194686,34.87,Urban
Karnataka,31-12-2019,Monthly,,13344576,33.24,Urban
Karnataka,31-01-2020,Monthly,6.05,13300351,33.87,Urban
Karnataka,29-02-2020,Monthly,10.21,13022084,34.97,Urban
Karnataka,31-03-2020,Monthly,21.38,12689378,35.72,Urban
Karnataka,30-04-2020,Monthly,32.57,12196945,35.21,Urban
Karnataka,31-05-2020,Monthly,29.25,12401797,35.78,Urban
Karnataka,30-06-2020,Monthly,19.09,12744286,32.47,Urban
Karnataka,31-07-2020,Monthly,12.04,13076384,35.13,Urban
Karnataka,31-08-2020,Monthly,14.81,12989329,32.34,Urban
Karnataka,30-09-2020,Monthly,9.94,13148398,33.09,Urban
Karnataka,31-10-2020,Monthly,12.31,13055106,35.71,Urban
Karnataka,30-11-2020,Monthly,10.39,13072249,34.33,Urban
Kerala,31-01-2019,Monthly,4.37,7725915,44.93,Rural
Kerala,28-02-2019,Monthly,7.09,7591310,45.35,Rural
Kerala,31-03-2019,Monthly,4.96,7723073,45.52,Rural
Kerala,30-04-2019,Monthly,5.8,7625605,44.15,Rural
Kerala,31-05-2019,Monthly,3.92,7733379,46.76,Rural
Kerala,30-06-2019,Monthly,4.87,7743942,43.6,Rural
Kerala,31-07-2019,Monthly,2.18,7841613,42.63,Rural
Kerala,31-08-2019,Monthly,4.42,7734811,44.78,Rural
Kerala,30-09-2019,Monthly,2.74,7774919,46.77,Rural
Kerala,31-10-2019,Monthly,2.81,7758306,44.39,Rural
Kerala,30-11-2019,Monthly,5.69,7683596,43.57,Rural
Kerala,31-12-2019,Monthly,6.26,7621198,45.33,Rural
Kerala,31-01-2020,Monthly,4.37,7737210,46.12,Rural
Kerala,29-02-2020,Monthly,6.1,7703949,44.09,Rural
Kerala,31-03-2020,Monthly,9.67,7619540,45.4,Rural
Kerala,30-04-2020,Monthly,18.87,7365900,43.29,Rural
Kerala,31-05-2020,Monthly,13.36,7490440,43.91,Rural
Kerala,30-06-2020,Monthly,11.71,7474275,42.41,Rural
Kerala,31-07-2020,Monthly,5.42,7739345,43.51,Rural
Kerala,31-08-2020,Monthly,8.88,7676774,42.84,Rural
Kerala,30-09-2020,Monthly,6.81,7608679,43.85,Rural
Kerala,31-10-2020,Monthly,9.8,7509254,46.72,Rural
Kerala,30-11-2020,Monthly,10.16,7583043,43.26,Rural
Kerala,31-01-2019,Monthly,8.89,16731830,50.2,Urban
Kerala,28-02-2019,Monthly,11.76,16523867,47.73,Urban
Kerala,31-03-2019,Monthly,10.8,16509459,48.63,Urban
Kerala,30-04-2019,Monthly,11.48,16652474,49.63,Urban
Kerala,31-05-2019,Monthly,12.78,16448591,48.77,Urban
Kerala,30-06-2019,Monthly,11.94,16452938,47.51,Urban
Kerala,31-07-2019,Monthly,8.96,16768565,47.01,Urban
Kerala,31-08-2019,Monthly,11.58,16656110,47.11,Urban
Kerala,30-09-2019,Monthly,10.07,16654110,48.94,Urban
Kerala,31-10-2019,Monthly,12.91,16444808,47.67,Urban
Kerala,30-11-2019,Monthly,11.64,16554811,49.02,Urban
Kerala,31-12-2019,Monthly,12.94,16534531,46.48,Urban
Kerala,31-01-2020,Monthly,13.06,16503876,48.69,Urban
Kerala,29-02-2020,Monthly,7.74,16805389,49.69,Urban
Kerala,31-03-2020,Monthly,27.75,15776713,48.99,Urban
Kerala,30-04-2020,Monthly,38.54,15242378,47.75,Urban
Kerala,31-05-2020,Monthly,25.51,15902748,49.32,Urban
Kerala,30-06-2020,Monthly,30.76,15614321,45.52,Urban
Kerala,31-07-2020,Monthly,13.06,16557852,49.41,Urban
Kerala,31-08-2020,Monthly,14.32,16480810,49.32,Urban
Kerala,30-09-2020,Monthly,15.32,16431513,48.45,Urban
Kerala,31-10-2020,Monthly,15.28,16410541,48.1,Urban
Kerala,30-11-2020,Monthly,17.13,16205434,49.7,Urban
Madhya Pradesh,31-01-2019,Monthly,5.81,21897522,38.63,Rural
Madhya Pradesh,28-02-2019,Monthly,5.6,21986754,39.68,Rural
Madhya Pradesh,31-03-2019,Monthly,5.0,21978495,35.23,Rural
Madhya Pradesh,30-04-2019,Monthly,5.37,22009055,35.54,Rural
Madhya Pradesh,31-05-2019,Monthly,3.86,22124299,36.72,Rural
Madhya Pradesh,30-06-2019,Monthly,2.77,22098941,37.16,Rural
Madhya Pradesh,31-07-2019,Monthly,5.1,21989723,38.7,Rural
Madhya Pradesh,31-08-2019,Monthly,6.77,21928899,36.77,Rural
Madhya Pradesh,30-09-2019,Monthly,3.0,22057304,37.77,Rural
Madhya Pradesh,31-10-2019,Monthly,4.33,21949745,37.45,Rural
Madhya Pradesh,30-11-2019,Monthly,5.42,21897009,38.43,Rural
Madhya Pradesh,31-12-2019,Monthly,6.49,21816206,35.37,Rural
Madhya Pradesh,31-01-2020,Monthly,4.57,21927618,36.25,Rural
Madhya Pradesh,29-02-2020,Monthly,3.79,22056675,37.83,Rural
Madhya Pradesh,31-03-2020,Monthly,8.74,21707471,39.37,Rural
Madhya Pradesh,30-04-2020,Monthly,19.03,21091966,38.58,Rural
Madhya Pradesh,31-05-2020,Monthly,11.11,21516583,38.58,Rural
Madhya Pradesh,30-06-2020,Monthly,15.25,21274674,37.69,Rural
Madhya Pradesh,31-07-2020,Monthly,8.61,21788232,37.08,Rural
Madhya Pradesh,31-08-2020,Monthly,6.97,21823142,35.41,Rural
Madhya Pradesh,30-09-2020,Monthly,9.67,21642116,38.04,Rural
Madhya Pradesh,31-10-2020,Monthly,6.5,21827730,37.19,Rural
Madhya Pradesh,30-11-2020,Monthly,7.25,21862063,36.83,Rural
Madhya Pradesh,31-01-2019,Monthly,7.71,2998667,44.67,Urban
Madhya Pradesh,28-02-2019,Monthly,10.95,3061198,43.0,Urban
Madhya Pradesh,31-03-2019,Monthly,7.74,3059639,42.98,Urban
Madhya Pradesh,30-04-2019,Monthly,12.89,3064405,44.33,Urban
Madhya Pradesh,31-05-2019,Monthly,11.41,3032271,44.73,Urban
Madhya Pradesh,30-06-2019,Monthly,11.03,3066115,44.03,Urban
Madhya Pradesh,31-07-2019,Monthly,11.09,3065650,43.59,Urban
Madhya Pradesh,31-08-2019,Monthly,7.46,3079876,44.81,Urban
Madhya Pradesh,30-09-2019,Monthly,9.87,3031417,45.59,Urban
Madhya Pradesh,31-10-2019,Monthly,11.42,2977513,41.9,Urban
Madhya Pradesh,30-11-2019,Monthly,7.17,3040883,44.87,Urban
Madhya Pradesh,31-12-2019,Monthly,8.59,3055207,44.79,Urban
Madhya Pradesh,31-01-2020,Monthly,8.6,3030252,45.57,Urban
Madhya Pradesh,29-02-2020,Monthly,9.19,3024740,44.49,Urban
Madhya Pradesh,31-03-2020,Monthly,26.41,2915892,45.0,Urban
Madhya Pradesh,30-04-2020,Monthly,21.97,2873277,43.96,Urban
Madhya Pradesh,31-05-2020,Monthly,21.42,2866751,42.25,Urban
Madhya Pradesh,30-06-2020,Monthly,26.35,2938203,42.47,Urban
Madhya Pradesh,31-07-2020,Monthly,11.2,3018959,42.82,Urban
Madhya Pradesh,31-08-2020,Monthly,,3029566,44.34,Urban
Madhya Pradesh,30-09-2020,Monthly,16.14,3004981,44.57,Urban
Madhya Pradesh,31-10-2020,Monthly,11.26,3047835,42.66,Urban
Madhya Pradesh,30-11-2020,Monthly,14.96,2974208,43.49,Urban
Maharashtra,31-01-2019,Monthly,3.82,4984832,44.93,Rural
Maharashtra,28-02-2019,Monthly,2.8,5002795,43.95,Rural
Maharashtra,31-03-2019,Monthly,3.43,4959744,47.01,Rural
Maharashtra,30-04-2019,Monthly,8.32,4981133,42.98,Rural
Maharashtra,31-05-2019,Monthly,4.33,5001106,42.62,Rural
Maharashtra,30-06-2019,Monthly,5.92,4977779,48.44,Rural
Maharashtra,31-07-2019,Monthly,3.32,5002415,44.71,Rural
Maharashtra,31-08-2019,Monthly,5.02,4940300,44.24,Rural
Maharashtra,30-09-2019,Monthly,6.01,4876544,45.42,Rural
Maharashtra,31-10-2019,Monthly,5.71,4951225,44.86,Rural
Maharashtra,30-11-2019,Monthly,7.62,4974474,46.12,Rural
Maharashtra,31-12-2019,Monthly,8.5,4929398,46.19,Rural
Maharashtra,31-01-2020,Monthly,6.94,4903629,44.2,Rural
Maharashtra,29-02-2020,Monthly,5.58,4950969,47.01,Rural
Maharashtra,31-03-2020,Monthly,11.92,4836752,45.73,Rural
Maharashtra,30-04-2020,Monthly,12.44,4837970,46.91,Rural
Maharashtra,31-05-2020,Monthly,12.13,4867007,47.22,Rural
Maharashtra,30-06-2020,Monthly,11.61,4810411,44.95,Rural
Maharashtra,31-07-2020,Monthly,5.85,4942167,45.06,Rural
Maharashtra,31-08-2020,Monthly,4.47,5036728,46.94,Rural
Maharashtra,30-09-2020,Monthly,6.85,4879389,45.54,Rural
Maharashtra,31-10-2020,Monthly,7.99,4932464,47.6,Rural
Maharashtra,30-11-2020,Monthly,6.72,5011030,46.63,Rural
Maharashtra,31-01-2019,Monthly,12.14,10448041,37.94,Urban
Maharashtra,28-02-2019,Monthly,9.62,10453401,37.53,Urban
Maharashtra,31-03-2019,Monthly,11.56,10481611,38.39,Urban
Maharashtra,30-04-2019,Monthly,14.44,10359055,36.99,Urban
Maharashtra,31-05-2019,Monthly,9.28,10427899,36.32,Urban
Maharashtra,30-06-2019,Monthly,8.7,10454651,38.13,Urban
Maharashtra,31-07-2019,Monthly,10.21,10394844,38.93,Urban
Maharashtra,31-08-2019,Monthly,13.09,10377017,38.22,Urban
Maharashtra,30-09-2019,Monthly,8.04,10518937,37.77,Urban
Maharashtra,31-10-2019,Monthly,8.65,10460157,35.89,Urban
Maharashtra,30-11-2019,Monthly,11.77,10432236,35.63,Urban
Maharashtra,31-12-2019,Monthly,12.48,10404864,35.97,Urban
Maharashtra,31-01-2020,Monthly,12.36,10388247,35.23,Urban
Maharashtra,29-02-2020,Monthly,7.13,10597981,37.91,Urban
Maharashtra,31-03-2020,Monthly,30.79,9792037,37.48,Urban
Maharashtra,30-04-2020,Monthly,26.54,9918872,38.5,Urban
Maharashtra,31-05-2020,Monthly,27.64,9826228,36.81,Urban
Maharashtra,30-06-2020,Monthly,,10065925,34.93,Urban
Maharashtra,31-07-2020,Monthly,15.84,10289428,38.7,Urban
Maharashtra,31-08-2020,Monthly,17.05,10320231,38.26,Urban
Maharashtra,30-09-2020,Monthly,15.02,10292063,37.13,Urban
Maharashtra,31-10-2020,Monthly,18.06,10161988,35.48,Urban
Maharashtra,30-11-2020,Monthly,13.75,10344235,34.58,Urban
Meghalaya,31-01-2019,Monthly,6.89,24441939,49.01,Rural
Meghalaya,28-02-2019,Monthly,5.8,24538618,51.12,Rural
Meghalaya,31-03-2019,Monthly,8.42,24283514,50.93,Rural
Meghalaya,30-04-2019,Monthly,7.32,24385746,48.49,Rural
Meghalaya,31-05-2019,Monthly,6.71,24367140,52.1,Rural
Meghalaya,30-06-2019,Monthly,5.47,24529960,51.31,Rural
Meghalaya,31-07-2019,Monthly,6.66,24438032,49.77,Rural
Meghalaya,31-08-2019,Monthly,6.51,24370919,49.34,Rural
Meghalaya,30-09-2019,Monthly,6.4,24424076,51.82,Rural
Meghalaya,31-10-2019,Monthly,7.8,24289295,49.54,Rural
Meghalaya,30-11-2019,Monthly,4.18,24631353,50.47,Rural
Meghalaya,31-12-2019,Monthly,4.12,24619134,49.81,Rural
Meghalaya,31-01-2020,Monthly,4.86,24539572,49.47,Rural
Meghalaya,29-02-2020,Monthly,3.84,24592648,48.87,Rural
Meghalaya,31-03-2020,Monthly,12.72,23947712,49.41,Rural
Meghalaya,30-04-2020,Monthly,22.13,23173562,49.16,Rural
Meghalaya,31-05-2020,Monthly,13.9,23821663,49.13,Rural
Meghalaya,30-06-2020,Monthly,11.47,24123841,48.35,Rural
Meghalaya,31-07-2020,Monthly,7.33,24336922,49.22,Rural
Meghalaya,31-08-2020,Monthly,7.33,24268888,49.54,Rural
Meghalaya,30-09-2020,Monthly,7.33,24379848,49.94,Rural
Meghalaya,31-10-2020,Monthly,10.71,24040860,50.65,Rural
Meghalaya,30-11-2020,Monthly,7.53,24308193,50.82,Rural
Meghalaya,31-01-2019,Monthly,3.93,9261336,42.85,Urban
Meghalaya,28-02-2019,Monthly,4.2,9202486,43.35,Urban
Meghalaya,31-03-2019,Monthly,5.32,9117070,42.89,Urban
Meghalaya,30-04-2019,Monthly,6.6,9091645,37.89,Urban
Meghalaya,31-05-2019,Monthly,2.7,9251520,41.44,Urban
Meghalaya,30-06-2019,Monthly,3.54,9082350,41.29,Urban
Meghalaya,31-07-2019,Monthly,4.57,9247099,43.83,Urban
Meghalaya,31-08-2019,Monthly,2.59,9240046,39.36,Urban
Meghalaya,30-09-2019,Monthly,5.97,9123759,40.56,Urban
Meghalaya,31-10-2019,Monthly,2.67,9169031,42.41,Urban
Meghalaya,30-11-2019,Monthly,3.52,9125878,42.14,Urban
Meghalaya,31-12-2019,Monthly,3.49,9241713,42.02,Urban
Meghalaya,31-01-2020,Monthly,3.65,9150942,42.46,Urban
Meghalaya,29-02-2020,Monthly,3.66,9143383,41.44,Urban
Meghalaya,31-03-2020,Monthly,10.24,9020795,43.35,Urban
Meghalaya,30-04-2020,Monthly,15.61,8785374,41.02,Urban
Meghalaya,31-05-2020,Monthly,10.23,8947507,41.08,Urban
Meghalaya,30-06-2020,Monthly,9.19,9067783,43.79,Urban
Meghalaya,31-07-2020,Monthly,4.94,9004217,41.28,Urban
Meghalaya,31-08-2020,Monthly,7.99,9038422,41.16,Urban
Meghalaya,30-09-2020,Monthly,4.37,9195870,42.13,Urban
Meghalaya,31-10-2020,Monthly,5.06,9138344,41.94,Urban
Meghalaya,30-11-2020,Monthly,5.11,9122488,42.22,Urban
Odisha,31-01-2019,Monthly,2.78,13880651,36.74,Rural
Odisha,28-02-2019,Monthly,4.91,13835900,37.98,Rural
Odisha,31-03-2019,Monthly,3.26,13861966,37.69,Rural
Odisha,30-04-2019,Monthly,5.56,13784718,38.7,Rural
Odisha,31-05-2019,Monthly,4.2,13869411,37.7,Rural
Odisha,30-06-2019,Monthly,5.12,13791300,38.8,Rural
Odisha,31-07-2019,Monthly,6.27,13767069,39.61,Rural
Odisha,31-08-2019,Monthly,4.08,13826217,39.2,Rural
Odisha,30-09-2019,Monthly,5.23,13835050,37.84,Rural
Odisha,31-10-2019,Monthly,3.78,13781224,37.06,Rural
Odisha,30-11-2019,Monthly,5.58,13737212,38.95,Rural
Odisha,31-12-2019,Monthly,2.04,13892453,39.14,Rural
Odisha,31-01-2020,Monthly,3.92,13734837,40.01,Rural
Odisha,29-02-2020,Monthly,5.69,13785383,38.76,Rural
Odisha,31-03-2020,Monthly,10.26,13637815,39.68,Rural
Odisha,30-04-2020,Monthly,15.65,13310869,39.27,Rural
Odisha,31-05-2020,Monthly,9.81,13538891,37.93,Rural
Odisha,30-06-2020,Monthly,8.14,13650830,40.62,Rural
Odisha,31-07-2020,Monthly,2.36,13878359,36.92,Rural
Odisha,31-08-2020,Monthly,7.95,13653476,37.35,Rural
Odisha,30-09-2020,Monthly,8.41,13585724,39.21,Rural
Odisha,31-10-2020,Monthly,6.64,13797749,39.53,Rural
Odisha,30-11-2020,Monthly,4.02,13764164,38.41,Rural
Odisha,31-01-2019,Monthly,10.0,9736753,37.5,Urban
Odisha,28-02-2019,Monthly,8.04,9823535,34.69,Urban
Odisha,31-03-2019,Monthly,10.62,9547018,35.75,Urban
Odisha,30-04-2019,Monthly,7.65,9716068,34.96,Urban
Odisha,31-05-2019,Monthly,8.56,9728261,34.92,Urban
Odisha,30-06-2019,Monthly,8.9,9715470,34.18,Urban
Odisha,31-07-2019,Monthly,7.77,9698384,38.03,Urban
Odisha,31-08-2019,Monthly,7.76,9685294,38.26,Urban
Odisha,30-09-2019,Monthly,7.8,9786680,36.22,Urban
Odisha,31-10-2019,Monthly,8.26,9601107,37.27,Urban
Odisha,30-11-2019,Monthly,7.35,9749634,37.32,Urban
Odisha,31-12-2019,Monthly,8.66,9675279,35.4,Urban
Odisha,31-01-2020,Monthly,8.55,9707207,37.32,Urban
Odisha,29-02-2020,Monthly,8.97,9656381,37.1,Urban
Odisha,31-03-2020,Monthly,23.85,9217780,37.05,Urban
Odisha,30-04-2020,Monthly,21.17,9384375,37.26,Urban
Odisha,31-05-2020,Monthly,22.47,9219756,35.93,Urban
Odisha,30-06-2020,Monthly,15.0,9422190,38.17,Urban
Odisha,31-07-2020,Monthly,11.71,9549732,36.31,Urban
Odisha,31-08-2020,Monthly,8.35,9695621,36.96,Urban
Odisha,30-09-2020,Monthly,12.0,9688922,36.8,Urban
Odisha,31-10-2020,Monthly,14.13,9524736,38.43,Urban
Odisha,30-11-2020,Monthly,13.36,9570656,38.74,Urban
Puducherry,31-01-2019,Monthly,10.69,13121568,47.41,Rural
Puducherry,28-02-2019,Monthly,9.44,13221491,45.72,Rural
Puducherry,31-03-2019,Monthly,8.63,13278801,43.63,Rural
Puducherry,30-04-2019,Monthly,9.84,13157313,45.87,Rural
Puducherry,31-05-2019,Monthly,8.63,13238833,44.94,Rural
Puducherry,30-06-2019,Monthly,11.82,13155329,45.4,Rural
Puducherry,31-07-2019,Monthly,11.23,13165543,45.1,Rural
Puducherry,31-08-2019,Monthly,11.2,13135409,44.59,Rural
Puducherry,30-09-2019,Monthly,9.31,13096680,44.58,Rural
Puducherry,31-10-2019,Monthly,8.06,13315860,45.4,Rural
Puducherry,30-11-2019,Monthly,10.25,13114116,47.23,Rural
Puducherry,31-12-2019,Monthly,10.95,13104728,45.36,Rural
Puducherry,31-01-2020,Monthly,10.25,13188889,43.68,Rural
Puducherry,29-02-2020,Monthly,10.06,13150519,46.01,Rural
Puducherry,31-03-2020,Monthly,25.72,12520283,43.9,Rural
Puducherry,30-04-2020,Monthly,39.48,11875335,46.38,Rural
Puducherry,31-05-2020,Monthly,25.68,12510408,46.99,Rural
